State,Year,Total_Accidents,Persons_Killed,Persons_Injured,Fatality_Rate_pct,Severity_Index,Registered_Vehicles,Accidents_per_10k_vehicles,TwoWheeler_Involved,Car_Involved,Truck_Involved,Bus_Involved,Pedestrian_Involved,Cause_Overspeeding,Cause_Alcohol,Cause_Negligence,Cause_Weather,Cause_Mechanical,Cause_Other,Yearly_Growth_pct,State_Risk_Score,High_Risk_Corridor_Flag
Jharkhand,2020,66065,2545,21576,3.85,0.442,1326805,497.9255,29729,16516,9909,3303,6608,19819,6606,16516,3303,1981,17840,5.540201607105777,0.484,Medium
Jharkhand,2021,68286,2714,18526,3.97,0.391,1271697,536.9675,30728,17071,10242,3414,6831,20485,6828,17071,3414,2048,18440,3.3618406115189625,0.414,Medium
Jharkhand,2022,70186,2627,23934,3.74,0.453,1235537,568.0607,31583,17546,10527,3509,7021,21055,7018,17546,3509,2105,18953,2.7824151363383454,0.511,Medium
Jharkhand,2023,67629,3656,22157,5.41,0.49,1405664,481.1178,30433,16907,10144,3381,6764,20288,6762,16907,3381,2028,18263,-3.643176701906359,0.53,Medium
Karnataka,2010,57535,2882,11907,5.01,0.357,2378139,241.9329,25890,14383,8630,2876,5756,17260,5753,14383,2876,1726,15537,0.0,0.287,Low
Karnataka,2011,70393,816,13061,1.16,0.22,2516279,279.7504,31676,17598,10558,3519,7042,21117,7039,17598,3519,2111,19009,22.34813591726774,0.143,Low
Karnataka,2012,73888,1935,18908,2.62,0.334,2493279,296.3487,33249,18472,11083,3694,7390,22166,7388,18472,3694,2216,19952,4.964982313582311,0.277,Low
Karnataka,2013,70771,3223,22928,4.55,0.461,2712821,260.876,31846,17692,10615,3538,7080,21231,7077,17692,3538,2123,19110,-4.218546990038973,0.434,Medium
Karnataka,2014,75980,3206,21456,4.22,0.409,2541498,298.9575,34191,18995,11397,3799,7598,22794,7598,18995,3799,2279,20515,7.360359469274136,0.392,Low
Karnataka,2015,73638,3932,20595,5.34,0.44,2714500,271.2765,33137,18409,11045,3681,7366,22091,7363,18409,3681,2209,19885,-3.0823901026585943,0.408,Medium
Karnataka,2016,66883,2792,27613,4.17,0.538,2633511,253.9689,30097,16720,10032,3344,6690,20064,6688,16720,3344,2006,18061,-9.173252940058118,0.535,Medium
Karnataka,2017,88804,3269,15216,3.68,0.282,2790493,318.2377,39961,22201,13320,4440,8882,26641,8880,22201,4440,2664,23978,32.77514465559259,0.265,Low
Karnataka,2018,83365,4584,28002,5.5,0.501,3157729,264.003,37514,20841,12504,4168,8338,25009,8336,20841,4168,2500,22511,-6.124724111526502,0.489,Medium
Karnataka,2019,75423,2126,16293,2.82,0.301,2919996,258.2983,33940,18855,11313,3771,7544,22626,7542,18855,3771,2262,20367,-9.52677982366701,0.188,Low
Karnataka,2020,84237,3127,28926,3.71,0.455,2949088,285.6375,37906,21059,12635,4211,8426,25271,8423,21059,4211,2527,22746,11.686090449862775,0.465,Medium
Karnataka,2021,79575,2947,21474,3.7,0.381,3383627,235.1766,35808,19893,11936,3978,7960,23872,7957,19893,3978,2387,21488,-5.53438512767549,0.308,Low
Karnataka,2022,82017,2464,26322,3.0,0.411,3196265,256.6026,36907,20504,12302,4100,8204,24605,8201,20504,4100,2460,22147,3.0688030160226143,0.376,Low
Karnataka,2023,81235,1950,26554,2.4,0.399,3115506,260.7442,36555,20308,12185,4061,8126,24370,8123,20308,4061,2437,21936,-0.9534608678688605,0.35,Low
Kerala,2010,11505,478,3724,4.15,0.448,453126,253.9029,5177,2876,1725,575,1152,3451,1150,2876,575,345,3108,0.0,0.423,Medium
Kerala,2011,12180,310,2706,2.55,0.299,379294,321.1229,5481,3045,1827,609,1218,3654,1218,3045,609,365,3289,5.867014341590604,0.233,Low
Kerala,2012,12708,543,4112,4.27,0.452,421305,301.6342,5718,3177,1906,635,1272,3812,1270,3177,635,381,3433,4.334975369458127,0.449,Medium
Kerala,2013,13583,380,3458,2.8,0.339,454753,298.6896,6112,3395,2037,679,1360,4074,1358,3395,679,407,3670,6.885426502990244,0.289,Low
Kerala,2014,13199,265,3935,2.01,0.358,497767,265.1642,5939,3299,1979,659,1323,3959,1319,3299,659,395,3568,-2.8270632408157303,0.288,Low
Kerala,2015,14178,521,3303,3.67,0.343,506599,279.8663,6380,3544,2126,708,1420,4253,1417,3544,708,425,3831,7.417228577922574,0.291,Low
Kerala,2016,12968,308,3006,2.38,0.303,468867,276.5816,5835,3242,1945,648,1298,3890,1296,3242,648,389,3503,-8.534348991395124,0.198,Low
Kerala,2017,13579,628,5605,4.62,0.552,518646,261.8163,6110,3394,2036,678,1361,4073,1357,3394,678,407,3670,4.7115977791486685,0.587,Medium
Kerala,2018,14985,465,3258,3.1,0.311,568771,263.4628,6743,3746,2247,749,1500,4495,1498,3746,749,449,4048,10.354223433242504,0.247,Low
Kerala,2019,14676,780,3276,5.31,0.383,644061,227.8666,6604,3669,2201,733,1469,4402,1467,3669,733,440,3965,-2.0620620620620644,0.317,Low
Kerala,2020,15879,552,4526,3.48,0.389,559836,283.6366,7145,3969,2381,793,1591,4763,1587,3969,793,476,4291,8.197056418642678,0.361,Low
Kerala,2021,15138,501,4930,3.31,0.425,587394,257.7146,6812,3784,2270,756,1516,4541,1513,3784,756,454,4090,-4.666540714150768,0.38,Low
Kerala,2022,16306,591,4682,3.62,0.396,643050,253.5728,7337,4076,2445,815,1633,4891,1630,4076,815,489,4405,7.715682388690714,0.363,Low
Kerala,2023,14500,556,4368,3.83,0.416,583024,248.7033,6525,3625,2175,725,1450,4350,1450,3625,725,435,3915,-11.075677664663319,0.351,Low
Madhya Pradesh,2010,70018,1133,21506,1.62,0.356,9577625,73.1058,31508,17504,10502,3500,7004,21005,7001,17504,3500,2100,18908,0.0,0.245,Low
Madhya Pradesh,2011,71727,2957,21564,4.12,0.424,9494184,75.5484,32277,17931,10759,3586,7174,21518,7172,17931,3586,2151,19369,2.4408009369019323,0.35,Low
Madhya Pradesh,2012,63531,1651,19792,2.6,0.389,9448310,67.2406,28588,15882,9529,3176,6356,19059,6353,15882,3176,1905,17156,-11.426659416955953,0.267,Low
Madhya Pradesh,2013,74111,2939,27300,3.97,0.487,10618674,69.7931,33349,18527,11116,3705,7414,22233,7411,18527,3705,2223,20012,16.65328737151941,0.471,Medium
Madhya Pradesh,2014,73877,3138,25875,4.25,0.478,10201654,72.4167,33244,18469,11081,3693,7390,22163,7387,18469,3693,2216,19949,-0.31574260231275186,0.422,Medium
Madhya Pradesh,2015,73281,2493,20241,3.4,0.378,11349824,64.5658,32976,18320,10992,3664,7329,21984,7328,18320,3664,2198,19787,-0.8067463486606141,0.273,Low
Madhya Pradesh,2016,73669,3500,20748,4.75,0.424,11398364,64.6312,33151,18417,11050,3683,7368,22100,7366,18417,3683,2210,19893,0.529468757249485,0.343,Low
Madhya Pradesh,2017,78208,1973,23384,2.52,0.375,11660744,67.0695,35193,19552,11731,3910,7822,23462,7820,19552,3910,2346,21118,6.16134330586815,0.284,Low
Madhya Pradesh,2018,78852,1701,30363,2.16,0.45,11855227,66.5124,35483,19713,11827,3942,7887,23655,7885,19713,3942,2365,21292,0.823445171849424,0.383,Low
Madhya Pradesh,2019,77597,3973,25674,5.12,0.484,11409175,68.0128,34918,19399,11639,3879,7762,23279,7759,19399,3879,2327,20954,-1.5915893065489795,0.427,Medium
Madhya Pradesh,2020,78167,2562,24612,3.28,0.413,12859956,60.7833,35175,19541,11725,3908,7818,23450,7816,19541,3908,2345,21107,0.7345644805855978,0.327,Low
Madhya Pradesh,2021,87273,3525,32058,4.04,0.489,12886834,67.7226,39272,21818,13090,4363,8730,26181,8727,21818,4363,2618,23566,11.649417273273887,0.463,Medium
Madhya Pradesh,2022,82292,2877,24403,3.5,0.401,11445861,71.8967,37031,20573,12343,4114,8231,24687,8229,20573,4114,2468,22221,-5.707377997777085,0.298,Low
Madhya Pradesh,2023,84567,3225,23576,3.81,0.393,13038428,64.8598,38055,21141,12685,4228,8458,25370,8456,21141,4228,2537,22835,2.764545763865267,0.303,Low
Maharashtra,2010,30248,1365,6290,4.51,0.343,2562150,118.0571,13611,7562,4537,1512,3026,9074,3024,7562,1512,907,8169,0.0,0.237,Low
Maharashtra,2011,27280,961,8890,3.52,0.432,2734461,99.7637,12276,6820,4092,1364,2728,8184,2728,6820,1364,818,7366,-9.812218989685274,0.341,Low
Maharashtra,2012,29183,800,7862,2.74,0.352,2730959,106.8599,13132,7295,4377,1459,2920,8754,2918,7295,1459,875,7882,6.975806451612909,0.262,Low
Maharashtra,2013,28068,602,7050,2.14,0.316,3197744,87.7744,12630,7017,4210,1403,2808,8420,2806,7017,1403,842,7580,-3.8207175410341687,0.182,Low
Maharashtra,2014,28655,1757,9303,6.13,0.509,3166855,90.4841,12894,7163,4298,1432,2868,8596,2865,7163,1432,859,7740,2.0913495795924275,0.477,Medium
Maharashtra,2015,29426,1235,7980,4.2,0.397,3257754,90.326,13241,7356,4413,1471,2945,8827,2942,7356,1471,882,7948,2.690629907520492,0.315,Low
Maharashtra,2016,35421,1205,12661,3.4,0.46,3220779,109.9765,15939,8855,5313,1771,3543,10626,3542,8855,1771,1062,9565,20.37313940053014,0.449,Medium
Maharashtra,2017,31975,1685,8590,5.27,0.427,3749875,85.2695,14388,7993,4796,1598,3200,9592,3197,7993,1598,959,8636,-9.728692018858865,0.331,Low
Maharashtra,2018,33769,991,11198,2.93,0.42,3710499,91.0093,15196,8442,5065,1688,3378,10130,3376,8442,1688,1013,9120,5.6106333072712955,0.355,Low
Maharashtra,2019,34262,661,9032,1.93,0.321,3593547,95.3431,15417,8565,5139,1713,3428,10278,3426,8565,1713,1027,9253,1.4599188604933477,0.202,Low
Maharashtra,2020,33797,1392,10439,4.12,0.432,3489098,96.8646,15208,8449,5069,1689,3382,10139,3379,8449,1689,1013,9128,-1.3571887221995205,0.359,Low
Maharashtra,2021,35139,1444,11525,4.11,0.451,4046315,86.842,15812,8784,5270,1756,3517,10541,3513,8784,1756,1054,9491,3.9707666360919713,0.396,Low
Maharashtra,2022,36479,1444,10815,3.96,0.415,3611883,100.9972,16415,9119,5471,1823,3651,10943,3647,9119,1823,1094,9853,3.813426676911691,0.346,Low
Maharashtra,2023,36472,1352,11436,3.71,0.425,3781306,96.4534,16412,9118,5470,1823,3649,10941,3647,9118,1823,1094,9849,-0.019189122508844747,0.351,Low
Manipur,2010,38665,1760,11523,4.55,0.435,12315541,31.3953,17399,9666,5799,1933,3868,11599,3866,9666,1933,1159,10442,0.0,0.35,Low
Manipur,2011,42197,1489,14638,3.53,0.453,12026899,35.0855,18988,10549,6329,2109,4222,12659,4219,10549,2109,1265,11396,9.134876503297562,0.397,Low
Manipur,2012,43292,1315,12047,3.04,0.369,12583581,34.4036,19481,10823,6493,2164,4331,12987,4329,10823,2164,1298,11691,2.594971206483865,0.26,Low
Manipur,2013,44524,1345,16152,3.02,0.453,12625685,35.2646,20035,11131,6678,2226,4454,13357,4452,11131,2226,1335,12023,2.8457913702300663,0.384,Low
Manipur,2014,44503,1361,16570,3.06,0.464,13786777,32.2795,20026,11125,6675,2225,4452,13350,4450,11125,2225,1335,12018,-0.047165573623209056,0.393,Low
Manipur,2015,48291,972,15132,2.01,0.374,14714994,32.8175,21730,12072,7243,2414,4832,14487,4829,12072,2414,1448,13041,8.511785722310862,0.28,Low
Manipur,2016,47005,2146,12885,4.57,0.411,15547517,30.2331,21152,11751,7050,2350,4702,14101,4700,11751,2350,1410,12693,-2.663022095214429,0.309,Low
Manipur,2017,53130,1666,14755,3.14,0.372,16046882,33.1092,23908,13282,7969,2656,5315,15939,5313,13282,2656,1593,14347,13.030528667163077,0.287,Low
Manipur,2018,52382,1559,14614,2.98,0.368,15178578,34.5105,23571,13095,7857,2619,5240,15714,5238,13095,2619,1571,14145,-1.407867494824011,0.25,Low
Manipur,2019,46474,1199,11608,2.58,0.327,15223451,30.5279,20913,11618,6971,2323,4649,13942,4647,11618,2323,1394,12550,-11.278683517238742,0.168,Low
Manipur,2020,50476,1884,19055,3.73,0.489,15454923,32.6601,22714,12619,7571,2523,5049,15142,5047,12619,2523,1514,13631,8.611266514610328,0.448,Medium
Manipur,2021,53798,1767,16006,3.28,0.396,17266216,31.158,24209,13449,8069,2689,5382,16139,5379,13449,2689,1613,14529,6.581345589983356,0.307,Low
Manipur,2022,49802,1933,15355,3.88,0.425,17560364,28.3605,22410,12450,7470,2490,4982,14940,4980,12450,2490,1494,13448,-7.427785419532329,0.319,Low
Manipur,2023,54043,3218,14489,5.95,0.447,17107506,31.5902,24319,13510,8106,2702,5406,16212,5404,13510,2702,1621,14594,8.515722260150206,0.386,Low
Meghalaya,2010,24914,1168,9243,4.69,0.512,977071,254.9866,11211,6228,3737,1245,2493,7474,2491,6228,1245,747,6729,0.0,0.516,Medium
Meghalaya,2011,25215,1001,6868,3.97,0.391,1075563,234.4354,11346,6303,3782,1260,2524,7564,2521,6303,1260,756,6811,1.2081560568355076,0.337,Low
Meghalaya,2012,27323,542,10311,1.98,0.437,1176287,232.2817,12295,6830,4098,1366,2734,8196,2732,6830,1366,819,7380,8.360103113226259,0.419,Medium
Meghalaya,2013,26713,831,8395,3.11,0.408,1134828,235.3925,12020,6678,4006,1335,2674,8013,2671,6678,1335,801,7215,-2.232551330380994,0.355,Low
Meghalaya,2014,29168,1607,8492,5.51,0.456,1106939,263.5014,13125,7292,4375,1458,2918,8750,2916,7292,1458,875,7877,9.190281885224415,0.456,Medium
Meghalaya,2015,26762,741,7984,2.77,0.381,1296510,206.4157,12042,6690,4014,1338,2678,8028,2676,6690,1338,802,7228,-8.248765770707623,0.296,Low
Meghalaya,2016,28615,1065,8561,3.72,0.411,1299434,220.2113,12876,7153,4292,1430,2864,8584,2861,7153,1430,858,7729,6.923996711755476,0.375,Low
Meghalaya,2017,33675,999,9278,2.97,0.365,1329306,253.3277,15153,8418,5051,1683,3370,10102,3367,8418,1683,1010,9095,17.683033374104483,0.339,Low
Meghalaya,2018,31552,1686,10386,5.34,0.489,1276789,247.1199,14198,7888,4732,1577,3157,9465,3155,7888,1577,946,8521,-6.304380103934671,0.467,Medium
Meghalaya,2019,32006,1475,10914,4.61,0.479,1370852,233.4752,14402,8001,4800,1600,3203,9601,3200,8001,1600,960,8644,1.4388945233265726,0.466,Medium
Meghalaya,2020,33292,1554,12288,4.67,0.509,1418297,234.7322,14981,8323,4993,1664,3331,9987,3329,8323,1664,998,8991,4.0179966256326916,0.516,Medium
Meghalaya,2021,32068,1169,11554,3.65,0.47,1352920,237.0281,14430,8017,4810,1603,3208,9620,3206,8017,1603,962,8660,-3.676558933077012,0.443,Medium
Meghalaya,2022,33442,1038,10080,3.1,0.395,1539849,217.1771,15048,8360,5016,1672,3346,10032,3344,8360,1672,1003,9031,4.28464512910065,0.345,Low
Meghalaya,2023,33769,1197,7834,3.54,0.338,1539505,219.3497,15196,8442,5065,1688,3378,10130,3376,8442,1688,1013,9120,0.9778123317983445,0.256,Low
Mizoram,2010,14308,531,4483,3.71,0.425,4508893,31.7328,6438,3577,2146,715,1432,4292,1430,3577,715,429,3865,0.0,0.336,Low
Mizoram,2011,13891,492,5006,3.54,0.467,4425807,31.3864,6250,3472,2083,694,1392,4167,1389,3472,694,416,3753,-2.9144534526139187,0.391,Low
Mizoram,2012,13919,544,4045,3.91,0.408,4838001,28.7701,6263,3479,2087,695,1395,4175,1391,3479,695,417,3762,0.20156936145705462,0.311,Low
Mizoram,2013,13815,507,2894,3.67,0.32,5352629,25.8097,6216,3453,2072,690,1384,4144,1381,3453,690,414,3733,-0.7471801135139011,0.179,Low
Mizoram,2014,14027,508,4465,3.62,0.427,5135916,27.3116,6312,3506,2104,701,1404,4208,1402,3506,701,420,3790,1.5345638798407446,0.341,Low
Mizoram,2015,14589,213,4910,1.46,0.38,5736861,25.4303,6565,3647,2188,729,1460,4376,1458,3647,729,437,3942,4.006558779496694,0.277,Low
Mizoram,2016,13712,424,3270,3.09,0.331,5561395,24.6557,6170,3428,2056,685,1373,4113,1371,3428,685,411,3704,-6.011378435807801,0.184,Low
Mizoram,2017,15772,707,5616,4.48,0.491,6158321,25.6109,7097,3943,2365,788,1579,4731,1577,3943,788,473,4260,15.023337222870481,0.463,Medium
Mizoram,2018,15419,362,4537,2.35,0.365,6136270,25.1276,6938,3854,2312,770,1545,4625,1541,3854,770,462,4167,-2.2381435455237075,0.242,Low
Mizoram,2019,14966,772,5161,5.16,0.5,6053105,24.7245,6734,3741,2244,748,1499,4489,1496,3741,748,448,4044,-2.9379337181399623,0.438,Medium
Mizoram,2020,15653,443,4753,2.83,0.389,6212529,25.1959,7043,3913,2347,782,1568,4695,1565,3913,782,469,4229,4.590404917813706,0.292,Low
Mizoram,2021,17197,542,5593,3.15,0.42,6443619,26.6884,7738,4299,2579,859,1722,5159,1719,4299,859,515,4646,9.863923848463552,0.349,Low
Mizoram,2022,16987,555,5697,3.27,0.433,6860497,24.7606,7644,4246,2548,849,1700,5096,1698,4246,849,509,4589,-1.2211432226551189,0.343,Low
Mizoram,2023,17429,715,4405,4.1,0.376,6899364,25.2617,7843,4357,2614,871,1744,5228,1742,4357,871,522,4709,2.6019897568729133,0.268,Low
Nagaland,2010,7363,368,2343,5.0,0.468,9489955,7.7587,3313,1840,1104,368,738,2208,736,1840,368,220,1991,0.0,0.393,Low
Nagaland,2011,6669,202,1558,3.03,0.324,11297376,5.9031,3001,1667,1000,333,668,2000,666,1667,333,200,1803,-9.425505907917964,0.162,Low
Nagaland,2012,6486,354,2582,5.46,0.562,10844856,5.9807,2918,1621,972,324,651,1945,648,1621,324,194,1754,-2.744039586144853,0.524,Medium
Nagaland,2013,7321,250,2526,3.41,0.447,12163499,6.0188,3294,1830,1098,366,733,2196,732,1830,366,219,1978,12.873882207832255,0.389,Low
Nagaland,2014,7447,295,2003,3.96,0.388,12069605,6.17,3351,1861,1117,372,746,2234,744,1861,372,223,2013,1.7210763556891218,0.279,Low
Nagaland,2015,7564,195,2263,2.58,0.377,11955134,6.327,3403,1891,1134,378,758,2269,756,1891,378,226,2044,1.571102457365381,0.263,Low
Nagaland,2016,7421,174,2249,2.34,0.373,12075269,6.1456,3339,1855,1113,371,743,2226,742,1855,371,222,2005,-1.8905341089370697,0.25,Low
Nagaland,2017,7627,348,2529,4.56,0.468,12309206,6.1962,3432,1906,1144,381,764,2288,762,1906,381,228,2062,2.7759062121007982,0.399,Low
Nagaland,2018,8095,294,3117,3.63,0.494,14240709,5.6844,3642,2023,1214,404,812,2428,809,2023,404,242,2189,6.13609545037368,0.444,Medium
Nagaland,2019,7527,328,2734,4.36,0.494,14079597,5.346,3387,1881,1129,376,754,2258,752,1881,376,225,2035,-7.016676961087088,0.416,Medium
Nagaland,2020,8139,481,2706,5.91,0.51,15464347,5.2631,3662,2034,1220,406,817,2441,813,2034,406,244,2201,8.130729374252699,0.471,Medium
Nagaland,2021,8937,354,2422,3.96,0.39,14433054,6.192,4021,2234,1340,446,896,2681,893,2234,446,268,2415,9.804644305197208,0.3,Low
Nagaland,2022,8488,193,2822,2.27,0.401,15989431,5.3085,3819,2122,1273,424,850,2546,848,2122,424,254,2294,-5.024057289918316,0.284,Low
Nagaland,2023,8612,487,1912,5.65,0.392,16005957,5.3805,3875,2153,1291,430,863,2583,861,2153,430,258,2327,1.4608859566446641,0.285,Low
Odisha,2010,49456,1447,14776,2.93,0.387,8336823,59.3224,22255,12364,7418,2472,4947,14836,4945,12364,2472,1483,13356,0.0,0.287,Low
Odisha,2011,53835,2119,16252,3.94,0.42,7852576,68.5571,24225,13458,8075,2691,5386,16150,5383,13458,2691,1615,14538,8.854335166612737,0.356,Low
Odisha,2012,51886,1285,14898,2.48,0.361,7407016,70.0498,23348,12971,7782,2594,5191,15565,5188,12971,2594,1556,14012,-3.6203213522801203,0.244,Low
Odisha,2013,52393,2172,14452,4.15,0.4,9014391,58.1215,23576,13098,7858,2619,5242,15717,5239,13098,2619,1571,14149,0.977142196353542,0.308,Low
Odisha,2014,49050,998,15265,2.03,0.372,9084158,53.9951,22072,12262,7357,2452,4907,14715,4905,12262,2452,1471,13245,-6.380623365716797,0.25,Low
Odisha,2015,58082,1766,20557,3.04,0.445,8890564,65.3299,26136,14520,8712,2904,5810,17424,5808,14520,2904,1742,15684,18.41386340468909,0.413,Medium
Odisha,2016,54107,2371,17996,4.38,0.464,8459394,63.9608,24348,13526,8116,2705,5412,16232,5410,13526,2705,1623,14611,-6.843772597362352,0.386,Low
Odisha,2017,59699,2913,16042,4.88,0.415,9645897,61.8906,26864,14924,8954,2984,5973,17909,5969,14924,2984,1790,16123,10.33507679228196,0.351,Low
Odisha,2018,58110,2185,15834,3.76,0.385,9407318,61.7711,26149,14527,8716,2905,5813,17433,5811,14527,2905,1743,15691,-2.6616861253957347,0.279,Low
Odisha,2019,57784,2700,18905,4.67,0.467,9824214,58.8179,26002,14446,8667,2889,5780,17335,5778,14446,2889,1733,15603,-0.5610049905351966,0.403,Medium
Odisha,2020,61051,610,21821,1.0,0.387,9390532,65.0134,27472,15262,9157,3052,6108,18315,6105,15262,3052,1831,16486,5.653814204624119,0.3,Low
Odisha,2021,59047,1405,13891,2.38,0.307,11173650,52.8449,26571,14761,8857,2952,5906,17714,5904,14761,2952,1771,15945,-3.282501515126701,0.161,Low
Odisha,2022,59852,2302,17815,3.85,0.413,11094655,53.9467,26933,14963,8977,2992,5987,17955,5985,14963,2992,1795,16162,1.3633207444916806,0.327,Low
Odisha,2023,62429,1384,21838,2.22,0.416,10837363,57.6053,28093,15607,9364,3121,6244,18728,6242,15607,3121,1872,16859,4.305620530642251,0.338,Low
Punjab,2010,40366,850,10417,2.11,0.321,945489,426.9325,18164,10091,6054,2018,4039,12109,4036,10091,2018,1210,10902,0.0,0.278,Low
Punjab,2011,41689,1968,15038,4.72,0.502,950937,438.3992,18760,10422,6253,2084,4170,12506,4168,10422,2084,1250,11259,3.2775107763959754,0.552,Medium
Punjab,2012,41502,1991,11821,4.8,0.429,1007702,411.8479,18675,10375,6225,2075,4152,12450,4150,10375,2075,1245,11207,-0.4485595720693736,0.431,Medium
Punjab,2013,40862,1205,12357,2.95,0.391,987484,413.7991,18387,10215,6129,2043,4088,12258,4086,10215,2043,1225,11035,-1.5420943568984602,0.374,Low
Punjab,2014,42180,1039,12253,2.46,0.364,1080036,390.5425,18981,10545,6327,2109,4218,12654,4218,10545,2109,1265,11389,3.225490675933629,0.339,Low
Punjab,2015,42052,1475,12908,3.51,0.412,1114731,377.239,18923,10513,6307,2102,4207,12615,4205,10513,2102,1261,11356,-0.3034613560929378,0.399,Low
Punjab,2016,43944,2015,8567,4.59,0.333,1288849,340.9554,19774,10986,6591,2197,4396,13183,4394,10986,2197,1318,11866,4.499191477218689,0.285,Low
Punjab,2017,43197,1686,10932,3.9,0.37,1194780,361.5477,19438,10799,6479,2159,4322,12959,4319,10799,2159,1295,11666,-1.6998907700709998,0.331,Low
Punjab,2018,46621,1328,16487,2.85,0.439,1181441,394.6113,20979,11655,6993,2331,4663,13986,4662,11655,2331,1398,12589,7.92647637567423,0.46,Medium
Punjab,2019,48104,1242,14356,2.58,0.376,1347620,356.9552,21646,12026,7215,2405,4812,14431,4810,12026,2405,1443,12989,3.180969949164547,0.349,Low
Punjab,2020,49909,1900,13852,3.81,0.392,1262881,395.1995,22459,12477,7486,2495,4992,14972,4990,12477,2495,1497,13478,3.7522867121237313,0.382,Low
Punjab,2021,49101,1939,12087,3.95,0.365,1335537,367.6499,22095,12275,7365,2455,4911,14730,4910,12275,2455,1473,13258,-1.6189464825983269,0.325,Low
Punjab,2022,47138,2418,12322,5.13,0.415,1345727,350.2791,21212,11784,7070,2356,4716,14141,4713,11784,2356,1414,12730,-3.9978819168652424,0.389,Low
Punjab,2023,52656,1710,16693,3.25,0.414,1457349,361.3136,23695,13164,7898,2632,5267,15796,5265,13164,2632,1579,14220,11.706054563197421,0.423,Medium
Rajasthan,2010,54130,1389,19072,2.57,0.429,7681720,70.466,24358,13532,8119,2706,5415,16239,5413,13532,2706,1623,14617,0.0,0.351,Low
Rajasthan,2011,63675,2633,23208,4.14,0.489,7640937,83.334,28653,15918,9551,3183,6370,19102,6367,15918,3183,1910,17195,17.633474967670427,0.48,Medium
Rajasthan,2012,62991,1556,14872,2.47,0.31,7356618,85.6249,28345,15747,9448,3149,6302,18897,6299,15747,3149,1889,17010,-1.074204946996471,0.178,Low
Rajasthan,2013,60931,3078,13548,5.05,0.374,8162835,74.6444,27418,15232,9139,3046,6096,18279,6093,15232,3046,1827,16454,-3.2703084567636598,0.265,Low
Rajasthan,2014,60904,1765,18787,2.9,0.395,8262166,73.7143,27406,15226,9135,3045,6092,18271,6090,15226,3045,1827,16445,-0.04431241896571958,0.302,Low
Rajasthan,2015,70369,3542,13197,5.03,0.339,8533417,82.4629,31666,17592,10555,3518,7038,21110,7036,17592,3518,2111,19002,15.540851175620652,0.256,Low
Rajasthan,2016,68225,3156,18917,4.63,0.416,9099306,74.9782,30701,17056,10233,3411,6824,20467,6822,17056,3411,2046,18423,-3.0467961744518157,0.327,Low
Rajasthan,2017,65450,1287,24365,1.97,0.431,8525998,76.7652,29452,16362,9817,3272,6547,19635,6545,16362,3272,1963,17673,-4.0674239648222805,0.347,Low
Rajasthan,2018,78665,3323,26274,4.22,0.461,9932692,79.1981,35399,19666,11799,3933,7868,23599,7866,19666,3933,2359,21242,20.19098548510314,0.443,Medium
Rajasthan,2019,71246,2772,20700,3.89,0.407,10202689,69.8306,32060,17811,10686,3562,7127,21373,7124,17811,3562,2137,19239,-9.431132015508803,0.299,Low
Rajasthan,2020,73351,1870,18812,2.55,0.333,9699343,75.6247,33007,18337,11002,3667,7338,22005,7335,18337,3667,2200,19807,2.954551834488961,0.218,Low
Rajasthan,2021,78128,2252,15968,2.88,0.291,10682479,73.1366,35157,19532,11719,3906,7814,23438,7812,19532,3906,2343,21097,6.51252198334038,0.164,Low
Rajasthan,2022,81338,3475,21947,4.27,0.398,9895150,82.1999,36602,20334,12200,4066,8136,24401,8133,20334,4066,2440,21964,4.108642228138448,0.317,Low
Rajasthan,2023,77090,2575,19391,3.34,0.352,11324798,68.0719,34690,19272,11563,3854,7711,23127,7709,19272,3854,2312,20816,-5.222651159359703,0.227,Low
Sikkim,2010,63394,2421,13968,3.82,0.335,3736027,169.6829,28527,15848,9509,3169,6341,19018,6339,15848,3169,1901,17119,0.0,0.237,Low
Sikkim,2011,67055,2717,20867,4.05,0.433,4047711,165.6615,30174,16763,10058,3352,6708,20116,6705,16763,3352,2011,18108,5.774994478972784,0.392,Low
Sikkim,2012,69087,2121,21148,3.07,0.398,4029563,171.4504,31089,17271,10363,3454,6910,20726,6908,17271,3454,2072,18656,3.030348221609125,0.336,Low
Sikkim,2013,70294,2488,18620,3.54,0.371,3922273,179.2175,31632,17573,10544,3514,7031,21088,7029,17573,3514,2108,18982,1.7470725317353386,0.296,Low
Sikkim,2014,66373,3484,15783,5.25,0.395,4045292,164.0747,29867,16593,9955,3318,6640,19911,6637,16593,3318,1991,17923,-5.578000967365638,0.312,Low
Sikkim,2015,70417,3094,20086,4.39,0.417,4593986,153.2808,31687,17604,10562,3520,7044,21125,7041,17604,3520,2112,19015,6.092838955599422,0.366,Low
Sikkim,2016,72076,2723,18612,3.78,0.372,4936098,146.0182,32434,18019,10811,3603,7209,21622,7207,18019,3603,2162,19463,2.355965178863051,0.291,Low
Sikkim,2017,71650,2729,23765,3.81,0.446,4686690,152.8798,32242,17912,10747,3582,7167,21495,7165,17912,3582,2149,19347,-0.5910427881680502,0.394,Low
Sikkim,2018,76880,2590,23232,3.37,0.403,4690694,163.899,34596,19220,11532,3844,7688,23064,7688,19220,3844,2306,20758,7.299371946964417,0.351,Low
